FileName Sample
atac_wild_l3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114439&format=file&file=GSE114439%5Fatac%5Fwt%5Fl3%2Ebw
h3k27me3_wt_l3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114440&format=file&file=GSE114440%5FH3K27me3%5Fwt%5Fl3%2Ebw
h3k36me3_wt_l3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114440&format=file&file=GSE114440%5FH3K36me3%5Fwt%5Fl3%2Ebw
h3k4me1_wt_l3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114440&format=file&file=GSE114440%5FH3K4me1%5Fwt%5Fl3%2Ebw
h3k4me3_wt_l3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114440&format=file&file=GSE114440%5FH3K4me3%5Fwt%5Fl3%2Ebw
DNase_wt_l3_25 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142695&format=file&file=GSM3142695%5Fdnase%5Fwt%5Fl3%5Frep1%5F25U%5Fml%2Ebw
DNase_wt_l3_50 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142696&format=file&file=GSM3142696%5Fdnase%5Fwt%5Fl3%5Frep1%5F50U%5Fml%2Ebw
DNase_wt_l3_100 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142697&format=file&file=GSM3142697%5Fdnase%5Fwt%5Fl3%5Frep1%5F100U%5Fml%2Ebw
DNase_wt_l3_200 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142698&format=file&file=GSM3142698%5Fdnase%5Fwt%5Fl3%5Frep1%5F200U%5Fml%2Ebw
DNase_wt_l3_400 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142699&format=file&file=GSM3142699%5Fdnase%5Fwt%5Fl3%5Frep1%5F400U%5Fml%2Ebw
DNase_wt_l3_800 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM3142700&format=file&file=GSM3142700%5Fdnase%5Fwt%5Fl3%5Frep1%5F800U%5Fml%2Ebw
lcap_wt_log2_l3_fwd https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114483&format=file&file=GSE114483%5Flcap%5Fwt%5Fl3%5Flog2%5Ffwd%2Ebw
lcap_wt_log2_l3_rev https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114483&format=file&file=GSE114483%5Flcap%5Fwt%5Fl3%5Flog2%5Frev%2Ebw
scap_wt_l3_fwd https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114490&format=file&file=GSE114490%5Fscap%5Fwt%5Fl3%5Ffwd%2Ebw
scap_wt_l3_rev https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE114490&format=file&file=GSE114490%5Fscap%5Fwt%5Fl3%5Frev%2Ebw
